IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
139.162.6.60,4,4,0.00,63.21,0.00
192.46.230.252,4,4,0.00,63.32,0.00
13.215.184.4,4,4,0.00,63.34,0.00
13.33.33.48,4,4,0.00,63.37,0.00
4.193.148.154,4,4,0.00,63.62,0.00
2400:6180:0:d0::1702:d001,4,4,0.00,63.80,0.00
13.251.254.117,4,4,0.00,63.83,0.00
52.77.255.68,4,4,0.00,63.92,0.00
52.76.67.117,4,4,0.00,63.93,0.00
54.179.232.104,4,4,0.00,64.29,0.00
13.229.228.163,4,4,0.00,64.31,0.00
18.138.184.95,4,4,0.00,64.40,0.00
175.41.155.110,4,4,0.00,64.41,0.00
18.136.126.36,4,4,0.00,64.47,0.00
18.136.103.251,4,4,0.00,64.51,0.00
52.77.255.68,4,4,0.00,64.54,0.00
4.193.162.192,4,4,0.00,64.87,0.00
8.222.192.179,4,4,0.00,64.88,0.00
8.222.167.147,4,4,0.00,65.19,0.00
13.215.184.4,4,4,0.00,65.24,0.00
54.255.195.46,4,4,0.00,65.41,0.00
13.33.33.80,4,4,0.00,65.44,0.00
103.180.193.56,4,4,0.00,65.56,0.00
18.136.100.50,4,4,0.00,66.10,0.00
13.35.18.108,4,4,0.00,66.85,0.00
149.127.139.237,4,4,0.00,66.87,0.00
172.105.123.221,4,4,0.00,66.89,0.00
13.251.110.225,4,4,0.00,66.96,0.00
8.222.192.179,4,4,0.00,67.09,0.00
54.255.244.116,4,4,0.00,67.38,0.00
13.250.121.71,4,4,0.00,67.49,0.00
13.33.33.92,4,4,0.00,67.52,0.00
13.213.117.37,4,4,0.00,67.66,0.00
54.254.227.197,4,4,0.00,67.82,0.00
172.188.34.226,4,4,0.00,67.92,0.00
149.127.143.242,4,4,0.00,67.93,0.00
8.222.192.179,4,4,0.00,67.95,0.00
4.193.162.192,4,4,0.00,67.98,0.00
149.127.136.237,4,4,0.00,68.12,0.00
13.35.18.91,4,4,0.00,68.21,0.00
13.76.40.12,4,4,0.00,68.28,0.00
13.35.18.70,4,4,0.00,68.42,0.00
13.213.34.71,4,4,0.00,68.44,0.00
8.222.192.179,4,4,0.00,68.67,0.00
18.139.117.61,4,4,0.00,68.77,0.00
13.33.33.110,4,4,0.00,69.07,0.00
149.127.138.237,4,4,0.00,69.09,0.00
149.127.137.237,4,4,0.00,69.17,0.00
3.1.78.195,4,4,0.00,69.17,0.00
13.250.40.200,4,4,0.00,69.23,0.00
139.162.4.246,4,4,0.00,69.32,0.00
139.162.6.60,4,4,0.00,69.43,0.00
